fold,model,sample_id,best_fixed_method,fw_consensus_insertion_auc,best_fixed_method_insertion_auc,oracle_best_insertion_auc,fw_minus_best_fixed_method,fw_minus_oracle_best,uniform_consensus_insertion_auc,fw_minus_uniform
fold_1,cbm_nonleaky,73783367_1885677897_11_left_subarticular_stenosis_l1_l2,occlusion,0.9844057440757752,0.9838912606239318,0.9844866067171096,0.0005144834518433505,-8.086264133444487e-05,,
fold_1,cbm_nonleaky,73783367_2087785373_5_left_neural_foraminal_narrowing_l1_l2,occlusion,0.981498861312866,0.9820711284875868,0.9820711284875868,-0.0005722671747208086,-0.0005722671747208086,,
fold_1,cbm_nonleaky,73783367_2639788488_7_spinal_canal_stenosis_l1_l2,occlusion,0.9918725103139876,0.9937258154153824,0.9937258154153824,-0.0018533051013948088,-0.0018533051013948088,,
fold_1,cbm_nonleaky,88465004_2838498199_14_left_subarticular_stenosis_l3_l4,occlusion,0.7281643465161326,0.7555860772728922,0.7555860772728922,-0.027421730756759577,-0.027421730756759577,,
fold_1,cbm_nonleaky,88465004_3579504941_13_left_neural_foraminal_narrowing_l1_l2,occlusion,0.983332523703575,0.9826591104269028,0.9831666916608808,0.0006734132766722523,0.00016583204269426943,,
fold_1,cbm_nonleaky,96439573_296385739_10_spinal_canal_stenosis_l1_l2,occlusion,0.993617233633995,0.9936558961868288,0.9936558961868288,-3.866255283380138e-05,-3.866255283380138e-05,,
fold_1,cbm_nonleaky,96439573_557434766_13_right_neural_foraminal_narrowing_l1_l2,occlusion,0.8805315032601356,0.8977777913212776,0.8977777913212776,-0.017246288061141923,-0.017246288061141923,,
fold_1,cbm_nonleaky,96439573_1359869694_18_right_subarticular_stenosis_l3_l4,occlusion,0.9327071364037692,0.9289040739648045,0.9312203909270466,0.003803062438964777,0.0014867454767226729,,
fold_1,cbm_nonleaky,97086905_2413491771_14_right_subarticular_stenosis_l4_l5,occlusion,0.5242065876722336,0.540112081170082,0.5820885166525842,-0.015905493497848422,-0.057881928980350605,,
fold_1,cbm_nonleaky,97086905_2734164627_10_right_neural_foraminal_narrowing_l3_l4,occlusion,0.6051333442330361,0.7256638541817665,0.7256638541817665,-0.12053050994873038,-0.12053050994873038,,
fold_1,cbm_nonleaky,97634230_1763367570_8_left_subarticular_stenosis_l2_l3,occlusion,0.9626255467534064,0.9580943658947944,0.9665286764502524,0.004531180858612038,-0.0039031296968460305,,
fold_1,cbm_nonleaky,97634230_3235809257_10_spinal_canal_stenosis_l3_l4,occlusion,0.9215593934059144,0.942675782740116,0.942675782740116,-0.02111638933420157,-0.02111638933420157,,
fold_1,cbm_nonleaky,97634230_3354355391_14_left_neural_foraminal_narrowing_l3_l4,occlusion,0.938951836526394,0.942629973590374,0.942629973590374,-0.0036781370639800137,-0.0036781370639800137,,
fold_1,cbm_nonleaky,109677683_710656432_13_right_subarticular_stenosis_l4_l5,occlusion,0.3532565869390964,0.6296726375818252,0.6296726375818252,-0.27641605064272884,-0.27641605064272884,,
fold_1,cbm_nonleaky,109677683_1241324984_6_right_neural_foraminal_narrowing_l3_l4,occlusion,0.8585593774914743,0.858185963332653,0.8602316990494729,0.0003734141588213058,-0.0016723215579986794,,
fold_1,cbm_nonleaky,112166434_566852271_9_left_subarticular_stenosis_l2_l3,occlusion,0.9591056585311888,0.961669024825096,0.961669024825096,-0.0025633662939071877,-0.0025633662939071877,,
fold_1,cbm_nonleaky,112166434_626858322_4_right_neural_foraminal_narrowing_l1_l2,occlusion,0.9551094770431516,0.9661208599805832,0.9716563612222672,-0.011011382937431535,-0.01654688417911554,,
fold_1,cbm_nonleaky,112166434_2665773591_8_spinal_canal_stenosis_l2_l3,occlusion,0.985581648349762,0.9860067933797836,0.9860067933797836,-0.00042514503002155646,-0.00042514503002155646,,
fold_1,cbm_nonleaky,113121178_577886028_11_spinal_canal_stenosis_l3_l4,occlusion,0.3601038709282875,0.5151476502418518,0.5787596434354783,-0.15504377931356433,-0.21865577250719076,,
fold_1,cbm_nonleaky,113121178_1716134218_16_left_neural_foraminal_narrowing_l3_l4,occlusion,0.8265258818864823,0.8614964634180069,0.8614964634180069,-0.03497058153152455,-0.03497058153152455,,
fold_1,cbm_nonleaky,113758629_2079378095_20_left_subarticular_stenosis_l2_l3,occlusion,0.9680143311619758,0.9523814424872398,0.9707621231675148,0.015632888674736,-0.002747792005538985,,
fold_1,cbm_nonleaky,113758629_2106961807_6_left_neural_foraminal_narrowing_l2_l3,occlusion,0.8797410146333277,0.9259324237704276,0.9259324237704276,-0.04619140913709996,-0.04619140913709996,,
fold_1,cbm_nonleaky,113758629_2635875824_9_spinal_canal_stenosis_l3_l4,occlusion,0.9421966642141344,0.9386552438139916,0.9710045352578164,0.003541420400142825,-0.028807871043681987,,
fold_1,cbm_nonleaky,114899184_1364910156_36_right_subarticular_stenosis_l4_l5,occlusion,0.7414429364725947,0.7046460984274743,0.7399948595091701,0.03679683804512046,0.0014480769634246382,,
fold_1,cbm_nonleaky,114899184_1409087674_16_left_neural_foraminal_narrowing_l3_l4,occlusion,0.6754746049642564,0.6816900402307512,0.7227575868368149,-0.006215435266494818,-0.04728298187255853,,
fold_1,convnext_blackbox,11340341_1224932122_5_left_subarticular_stenosis_l1_l2,occlusion,0.9802172914147378,0.9827603444457054,0.9858301028609276,-0.002543053030967579,-0.005612811446189858,,
fold_1,convnext_blackbox,11340341_2231042680_5_right_neural_foraminal_narrowing_l4_l5,occlusion,0.5506018608808517,0.5685847893357276,0.5999636381864547,-0.017982928454875924,-0.04936177730560298,,
fold_1,convnext_blackbox,11340341_3543553307_10_spinal_canal_stenosis_l1_l2,occlusion,0.9909453377127648,0.9955316796898844,0.9955316796898844,-0.004586341977119601,-0.004586341977119601,,
fold_1,convnext_blackbox,59576878_1786504756_4_right_neural_foraminal_narrowing_l3_l4,occlusion,0.7789584353566171,0.8032312765717506,0.8032312765717506,-0.02427284121513351,-0.02427284121513351,,
fold_1,convnext_blackbox,59576878_2414228193_3_left_subarticular_stenosis_l1_l2,occlusion,0.6783746525645254,0.7084216192364693,0.7381338432431221,-0.030046966671943842,-0.059759190678596696,,
fold_1,convnext_blackbox,73783367_1885677897_11_left_subarticular_stenosis_l1_l2,occlusion,0.8944283843040465,0.935986489057541,0.935986489057541,-0.04155810475349453,-0.04155810475349453,,
fold_1,convnext_blackbox,73783367_2087785373_5_left_neural_foraminal_narrowing_l1_l2,occlusion,0.9755049243569376,0.970692850649357,0.970692850649357,0.004812073707580633,0.004812073707580633,,
fold_1,convnext_blackbox,73783367_2639788488_7_spinal_canal_stenosis_l1_l2,occlusion,0.9962851256132128,0.9950786709785464,0.9964571356773376,0.0012064546346663985,-0.00017201006412481679,,
fold_1,convnext_blackbox,88465004_2838498199_14_left_subarticular_stenosis_l3_l4,occlusion,0.7581590726971625,0.6958173319697382,0.7095584437251091,0.06234174072742438,0.04860062897205342,,
fold_1,convnext_blackbox,88465004_3579504941_13_left_neural_foraminal_narrowing_l1_l2,occlusion,0.9772445619106294,0.9764794021844864,0.9816521018743516,0.0007651597261429943,-0.004407539963722229,,
fold_1,convnext_blackbox,96439573_296385739_10_spinal_canal_stenosis_l1_l2,occlusion,0.9959547325968742,0.9946838095784188,0.9961314037442208,0.0012709230184553277,-0.000176671147346652,,
fold_1,convnext_blackbox,96439573_557434766_13_right_neural_foraminal_narrowing_l1_l2,occlusion,0.9080550372600557,0.8956521183252334,0.8999005645513534,0.01240291893482226,0.008154472708702287,,
fold_1,convnext_blackbox,96439573_1359869694_18_right_subarticular_stenosis_l3_l4,occlusion,0.8994320614263416,0.8969623191282153,0.9197554035112264,0.002469742298126243,-0.020323342084884843,,
fold_1,convnext_blackbox,97086905_2413491771_14_right_subarticular_stenosis_l4_l5,occlusion,0.6028732933104038,0.5946804411709309,0.6183662451803685,0.008192852139472961,-0.015492951869964688,,
fold_1,convnext_blackbox,97086905_2734164627_10_right_neural_foraminal_narrowing_l3_l4,occlusion,0.5664097100496291,0.5812243402004241,0.5812243402004241,-0.014814630150794983,-0.014814630150794983,,
fold_1,convnext_blackbox,97634230_1763367570_8_left_subarticular_stenosis_l2_l3,occlusion,0.6349497824907303,0.6538724794983863,0.6963654957711696,-0.01892269700765603,-0.061415713280439266,,
fold_1,convnext_blackbox,97634230_3235809257_10_spinal_canal_stenosis_l3_l4,occlusion,0.9691293492913248,0.9813295736908916,0.9813295736908916,-0.012200224399566806,-0.012200224399566806,,
fold_1,convnext_blackbox,97634230_3354355391_14_left_neural_foraminal_narrowing_l3_l4,occlusion,0.9388013079762458,0.9508209243416786,0.9508209243416786,-0.012019616365432806,-0.012019616365432806,,
fold_1,convnext_blackbox,109677683_710656432_13_right_subarticular_stenosis_l4_l5,occlusion,0.7423291943967344,0.7007973946630955,0.7455565802752974,0.04153179973363885,-0.0032273858785629717,,
fold_1,convnext_blackbox,109677683_1241324984_6_right_neural_foraminal_narrowing_l3_l4,occlusion,0.7308965988457203,0.6731050200760365,0.7007211335003375,0.05779157876968388,0.030175465345382846,,
fold_1,convnext_blackbox,112166434_566852271_9_left_subarticular_stenosis_l2_l3,occlusion,0.7421900168061257,0.7063221260905266,0.7678236559033393,0.03586789071559915,-0.025633639097213612,,
fold_1,convnext_blackbox,112166434_626858322_4_right_neural_foraminal_narrowing_l1_l2,occlusion,0.9751054346561432,0.969111570715904,0.9732761502265932,0.0059938639402391525,0.0018292844295499933,,
fold_1,convnext_blackbox,112166434_2665773591_8_spinal_canal_stenosis_l2_l3,occlusion,0.9924537569284438,0.9936739206314088,0.9936739206314088,-0.0012201637029649604,-0.0012201637029649604,,
fold_1,convnext_blackbox,113121178_577886028_11_spinal_canal_stenosis_l3_l4,occlusion,0.529200629144907,0.3697825990617275,0.5292082220315932,0.15941803008317945,-7.592886686280664e-06,,
fold_1,convnext_blackbox,113121178_1716134218_16_left_neural_foraminal_narrowing_l3_l4,occlusion,0.930710969865322,0.9450996860861778,0.9450996860861778,-0.014388716220855802,-0.014388716220855802,,
fold_1,convnext_blackbox,113758629_2079378095_20_left_subarticular_stenosis_l2_l3,occlusion,0.9633313223719596,0.9776056811213494,0.9780465468764306,-0.01427435874938976,-0.014715224504470936,,
fold_1,convnext_blackbox,113758629_2106961807_6_left_neural_foraminal_narrowing_l2_l3,occlusion,0.9300993144512176,0.9492633014917377,0.9492633014917377,-0.019163987040520025,-0.019163987040520025,,
fold_1,convnext_blackbox,113758629_2635875824_9_spinal_canal_stenosis_l3_l4,occlusion,0.9816930264234542,0.9410325288772584,0.9868902593851088,0.04066049754619583,-0.00519723296165453,,
fold_1,convnext_blackbox,114899184_1364910156_36_right_subarticular_stenosis_l4_l5,occlusion,0.9671073369681836,0.9796777211129664,0.9796777211129664,-0.012570384144782731,-0.012570384144782731,,
fold_1,convnext_blackbox,114899184_1409087674_16_left_neural_foraminal_narrowing_l3_l4,occlusion,0.5305391475558282,0.6427651613950729,0.6427651613950729,-0.11222601383924469,-0.11222601383924469,,
fold_1,deit_small,11340341_1224932122_5_left_subarticular_stenosis_l1_l2,attention_rollout,0.9855261638760568,0.988264511525631,0.988264511525631,-0.0027383476495741466,-0.0027383476495741466,0.9855129346251488,1.3229250908075585e-05
fold_1,deit_small,11340341_2231042680_5_right_neural_foraminal_narrowing_l4_l5,attention_rollout,0.4366388961672782,0.4416356205940246,0.5356953427195548,-0.004996724426746424,-0.09905644655227658,0.4285881534218788,0.008050742745399408
fold_1,deit_small,11340341_3543553307_10_spinal_canal_stenosis_l1_l2,attention_rollout,0.991782332956791,0.9904771342873572,0.9907404169440268,0.0013051986694337936,0.0010419160127641547,0.9919367864727974,-0.0001544535160064031
fold_1,deit_small,59576878_1786504756_4_right_neural_foraminal_narrowing_l3_l4,attention_rollout,0.5728087946772574,0.5716819480061531,0.5716819480061531,0.001126846671104298,0.001126846671104298,0.5722940057516098,0.0005147889256476024
fold_1,deit_small,59576878_2414228193_3_left_subarticular_stenosis_l1_l2,attention_rollout,0.9465754061937331,0.9600137025117874,0.9600137025117874,-0.013438296318054266,-0.013438296318054266,0.946558117866516,1.728832721714646e-05
fold_1,deit_small,73783367_1885677897_11_left_subarticular_stenosis_l1_l2,attention_rollout,0.968834674358368,0.978731417655945,0.978731417655945,-0.009896743297576949,-0.009896743297576949,0.9583761751651764,0.01045849919319164
fold_1,deit_small,73783367_2087785373_5_left_neural_foraminal_narrowing_l1_l2,attention_rollout,0.9599932387471198,0.96387849599123,0.976777558028698,-0.003885257244110152,-0.016784319281578197,0.9599656656384468,2.75731086730735e-05
fold_1,deit_small,73783367_2639788488_7_spinal_canal_stenosis_l1_l2,attention_rollout,0.9895340651273726,0.98946995139122,0.9905259013175964,6.411373615267113e-05,-0.0009918361902238049,0.9895212531089784,1.2812018394203761e-05
fold_1,deit_small,88465004_2838498199_14_left_subarticular_stenosis_l3_l4,attention_rollout,0.6831159148365258,0.6049876268953086,0.6538431588560344,0.07812828794121718,0.029272755980491394,0.6826980400830507,0.0004178747534751004
fold_1,deit_small,88465004_3579504941_13_left_neural_foraminal_narrowing_l1_l2,attention_rollout,0.991480976343155,0.9894196778535842,0.9894196778535842,0.0020612984895708175,0.0020612984895708175,0.9914323329925536,4.864335060139613e-05
