model,fold,method,deletion_auc,insertion_auc,source
vit_small,fold_0,gradcam,0.6016605045590065,0.6724251475229976,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\vit_small\faithfulness_metrics.csv
vit_small,fold_0,gradcam++,0.6101863178014173,0.6771334218800475,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\vit_small\faithfulness_metrics.csv
vit_small,fold_0,gradient_shap,0.4269076148230233,0.7597484842248474,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\vit_small\faithfulness_metrics.csv
vit_small,fold_0,guided_backprop,0.4687111718062273,0.7511786503944508,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\vit_small\faithfulness_metrics.csv
vit_small,fold_0,integrated_gradients,0.42682285012274707,0.7595068747797243,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\vit_small\faithfulness_metrics.csv
vit_small,fold_0,occlusion,0.4924322371895735,0.7929372221715942,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_0\vit_small\faithfulness_metrics.csv
cbm_leaky,fold_1,gradcam,0.6600827252693513,0.7349352730856432,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_1,gradcam++,0.7141680948895712,0.6958818184140643,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_1,gradient_shap,0.39987878533054994,0.7707685957115803,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_1,guided_backprop,0.4201542372081118,0.7254494931536707,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_1,integrated_gradients,0.3989238577847718,0.7708808636783505,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_leaky\faithfulness_metrics.csv
cbm_leaky,fold_1,occlusion,0.4786779979301888,0.7871444208931838,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_leaky\faithfulness_metrics.csv
cbm_nonleaky,fold_1,gradcam,0.6115701424978129,0.7101060037128045,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_1,gradcam++,0.6146389748891233,0.72464745709496,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_1,gradient_shap,0.4276898574416063,0.7760146039229718,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_1,guided_backprop,0.4565889559315043,0.7525912618590883,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_1,integrated_gradients,0.4265924659729274,0.77537388976776,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_nonleaky\faithfulness_metrics.csv
cbm_nonleaky,fold_1,occlusion,0.5038307909770646,0.7953784975431839,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\cbm_nonleaky\faithfulness_metrics.csv
convnext_blackbox,fold_1,gradcam,0.6700797413553811,0.6733343977844342,artifacts\results\current\v4\rsna\dataset_no_npy\combined_xai_multifold\fold_1\convnext_blackbox\faithfulness_metrics.csv
