sample_id,consensus_insertion_auc,consensus_expert_roi,fw_consensus_insertion_auc,fw_consensus_expert_roi,uniform_consensus_insertion_auc,uniform_consensus_expert_roi,topk_consensus_insertion_auc,topk_consensus_expert_roi,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop,weight_attention_rollout
63725508_1069611138_5_right_subarticular_stenosis_l3_l4,0.5565477393567562,0.26446086168289185,0.5565477393567562,0.26446086168289185,0.5566426150500774,0.2631703019142151,0.6312932334840297,0.2647590637207031,attention_rollout gradcam++ occlusion,0.1283564749230696,0.1587124657322526,0.13492547315531264,0.1351714164465264,0.14729260607242653,0.13617454100501925,0.159367022665393
63725508_1547488253_6_right_neural_foraminal_narrowing_l4_l5,0.7922658279538155,0.261981338262558,0.7922658279538155,0.261981338262558,0.7902243390679359,0.25990602374076843,0.7987639844417571,0.27660080790519714,attention_rollout occlusion gradient_shap,0.1283167172339197,0.13670956230679854,0.14419201985666158,0.14433458088275886,0.15109457897797254,0.139208518234149,0.15614402250773976
63725508_2144061947_11_spinal_canal_stenosis_l1_l2,0.5405332319438457,0.2767021059989929,0.5405332319438457,0.2767021059989929,0.5430474683642387,0.2754875421524048,0.5840797066688538,0.28260523080825806,gradient_shap attention_rollout guided_backprop,0.12950888681664205,0.130016102966003,0.14632322534885514,0.1512699580617563,0.1463115051534948,0.14700213774988388,0.14956818390336463
69086098_475539618_21_right_subarticular_stenosis_l3_l4,0.5343076914548873,0.26099222898483276,0.5343076914548873,0.26099222898483276,0.5296677045524121,0.2634678781032562,0.653259838372469,0.24691931903362274,attention_rollout gradcam occlusion,0.16003291989182003,0.13578158600991597,0.1322422040307398,0.13081749382028865,0.1593227640265181,0.12149367132786057,0.16030936089285683
69086098_2449982462_4_right_neural_foraminal_narrowing_l4_l5,0.588627714663744,0.23571428656578064,0.588627714663744,0.23571428656578064,0.582508336752653,0.2325902134180069,0.6754389218986034,0.2825029790401459,occlusion guided_backprop attention_rollout,0.1418091714527444,0.1349000201915275,0.13857706629702435,0.1419259394474603,0.15120051217717262,0.1472321475574328,0.14435514287663814
82066307_716781115_2_right_subarticular_stenosis_l1_l2,0.9906409829854966,0.22863689064979553,0.9906409829854966,0.22863689064979553,0.990471625328064,0.22863689064979553,0.9925362348556518,0.210063174366951,attention_rollout gradcam gradcam++,0.14347073530854054,0.14345098094202838,0.14318088389715877,0.14325470024810721,0.14302848241421973,0.1397395059755774,0.14387471121436796
82066307_2003554076_4_spinal_canal_stenosis_l1_l2,0.9930227354168892,0.2603995203971863,0.9930227354168892,0.2603995203971863,0.9930306330323219,0.2597087323665619,0.9926497742533684,0.26774880290031433,attention_rollout occlusion gradcam++,0.13752227475979842,0.14290882126588783,0.1426208918327215,0.14252011948768478,0.1464215247212317,0.1415821909296604,0.1464241770030153
82066307_3966938697_12_right_neural_foraminal_narrowing_l1_l2,0.9939519986510277,0.28209418058395386,0.9939519986510277,0.28209418058395386,0.9939344540238381,0.28209418058395386,0.9940170481801034,0.27660080790519714,attention_rollout occlusion gradient_shap,0.1422116198348241,0.14272426629790114,0.14291586632375622,0.1430284657818325,0.1432225515779438,0.14263867127809313,0.14325855890564915
107935613_729255173_13_right_subarticular_stenosis_l3_l4,0.5278486743569375,0.27457815408706665,0.5278486743569375,0.27457815408706665,0.5231870546936989,0.27467912435531616,0.5597438007593155,0.20471733808517456,integrated_gradients gradient_shap guided_backprop,0.12518049321773442,0.1397767441104924,0.15605150041517601,0.15469151586319227,0.1405159139217757,0.15005554621597578,0.13372828625565342
107935613_2724788286_3_right_neural_foraminal_narrowing_l4_l5,0.6326499234884978,0.2753864526748657,0.6326499234884978,0.2753864526748657,0.6168053932487965,0.27105388045310974,0.7719858143478632,0.28260523080825806,occlusion attention_rollout gradient_shap,0.12538654909906646,0.1227564464540147,0.14447992283174055,0.1468724073219046,0.16059024590263524,0.14031145801109035,0.15960297037954807
