sample_id,label,target,consensus_insertion_auc,fw_consensus_insertion_auc,uniform_consensus_insertion_auc,topk_consensus_insertion_auc,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop
cub_00513,9,9,0.919861436577048,0.919861436577048,0.9208994216634891,0.9356347686960362,gradcam++ gradcam occlusion,0.169275167160578,0.16972475376770174,0.16690175235750193,0.16688999459163825,0.16877167473359772,0.15843665738898244
cub_00552,10,10,0.7599400445178617,0.7599400445178617,0.7500197796209248,0.8264837100461592,occlusion gradient_shap integrated_gradients,0.16818200541781683,0.1506104858396345,0.17289600833330562,0.17452947951092573,0.1869440088754122,0.14683801202290503
cub_00602,10,10,0.2881757492665201,0.2881757492665201,0.2905187934462447,0.31271445409511217,gradcam++ gradcam occlusion,0.17579933240618642,0.1834674440112291,0.15906108680947262,0.15938721545493434,0.1659240458031301,0.15636087551504727
cub_00657,11,11,0.8218735222966643,0.8218735222966643,0.821470294825849,0.8798745201231213,occlusion integrated_gradients gradient_shap,0.1679331519437339,0.16329301867934953,0.17178658850976974,0.17125136221822618,0.17494652412136344,0.1507893545275571
cub_00706,12,12,0.833754291938385,0.833754291938385,0.8223411081300581,0.8454060120449867,occlusion gradient_shap integrated_gradients,0.1652732285190917,0.14854398898413954,0.17076714209211724,0.17652845785637417,0.17736787134639145,0.1615193112018859
cub_00761,13,13,0.9308899397961795,0.9308899397961795,0.930774691235274,0.929039132129401,occlusion gradcam guided_backprop,0.17184303188681857,0.16071246130087208,0.16471951606905216,0.16432987163907403,0.17290866627344856,0.16548645283073446
cub_00807,14,14,0.7878217303892597,0.7878217303892597,0.7870366716524586,0.7803878789534792,gradcam gradcam++ gradient_shap,0.1712683730385071,0.1703823173299749,0.16844205576644972,0.1691455814854338,0.15691358020795854,0.16384809217167598
cub_00862,15,15,0.936049180990085,0.936049180990085,0.935929918056354,0.937455761199817,occlusion guided_backprop gradcam++,0.16330335482860878,0.16732545526209766,0.16689038089804975,0.1668866387123745,0.1680732854277502,0.167520884871119
cub_00897,16,16,0.8455476180533877,0.8455476180533877,0.7798365765134804,0.9178693883935921,gradcam occlusion integrated_gradients,0.1822552139379566,0.11947972771862082,0.17751906728657527,0.17751334069835603,0.1796846762040614,0.16354797415442995
cub_00963,17,17,0.8885269560967572,0.8885269560967572,0.8872375172679311,0.9125549865071662,gradcam gradcam++ integrated_gradients,0.17388991521698233,0.1733755131782752,0.169343154695019,0.16803167801587904,0.15610335025143499,0.15925638864240949
cub_01006,18,18,0.8989348507719114,0.8989348507719114,0.8999973348574712,0.9164420067565515,gradcam++ gradcam occlusion,0.1716023107789631,0.17254733969842306,0.16046556960970954,0.1593267735878438,0.1683853964145901,0.16767260991047042
cub_01056,18,18,0.7987279114546254,0.7987279114546254,0.791946957760956,0.7721551113063468,occlusion gradcam gradcam++,0.17330788155688936,0.16747646873917013,0.14977617814205424,0.15092473373907248,0.19369274385432947,0.16482199396848435
cub_01106,19,19,0.9348715387954143,0.9348715387954143,0.9343923651351361,0.936986293710652,occlusion integrated_gradients gradient_shap,0.1625775624968266,0.1405632575869295,0.17439627739681485,0.1743256307864706,0.1747507416366876,0.17338653009627072
cub_01151,20,20,0.9155228414572775,0.9155228414572775,0.9252390258945524,0.9303643100894987,gradcam occlusion integrated_gradients,0.17838020820964207,0.14777130787576068,0.16772104380237723,0.1635651917297981,0.17809982833396878,0.1644624200484532
cub_01196,21,21,0.8922286681830882,0.8922286681830882,0.8879216266795993,0.9356276154518128,occlusion guided_backprop gradient_shap,0.14996644507983017,0.15079846590553658,0.17168804929369758,0.17362869809640644,0.17767233028276458,0.1762460113417648
cub_01247,22,23,0.06848006585205439,0.06848006585205439,0.06889510976034215,0.10573446144117042,occlusion gradcam++ gradcam,0.1650855210133829,0.1672308869642061,0.16390905322113397,0.1622485818877055,0.179531886530495,0.16199407038307645
cub_01301,23,23,0.8275856362073681,0.8275856362073681,0.8153815285651945,0.8646735550253651,gradient_shap occlusion integrated_gradients,0.15072120572349904,0.1624121094452998,0.17364328303881438,0.17529431607580093,0.1748865852450985,0.1630425004714873
cub_01352,24,24,0.8396577631268882,0.8396577631268882,0.8269158986542606,0.8760640298161888,gradient_shap integrated_gradients gradcam,0.16871277190230263,0.15577318837084358,0.1712835038983278,0.17281210102431357,0.16643020827495184,0.1649882265292605
cub_01407,25,25,0.8668100366834551,0.8668100366834551,0.8619271307252347,0.9200557705480606,integrated_gradients occlusion gradient_shap,0.12316804407838096,0.11570233338085018,0.19275291834969302,0.19225974181203348,0.19269022520006676,0.18342673717897562
cub_01457,25,25,0.8936330717522651,0.8936330717522651,0.8879356872756036,0.9012086015660316,occlusion guided_backprop gradient_shap,0.14479867876406927,0.16300625164134286,0.17269891857884842,0.173043386875636,0.17329071723005285,0.17316204691005072
