model,sample_idx,feature_autocorrelation,feature_total_variation,feature_entropy_norm,feature_coherence_score,feature_fragmentation_score
resnet50,22,0.662632184607492,0.5592187565748458,0.7811733860656549,0.42497704816167287,0.4368468096249975
resnet50,23,0.7016106178997588,0.5696270321012896,0.7803082376013144,0.4469919309178176,0.44448466550902466
resnet50,24,0.6360759377946775,0.5576629768978517,0.7501127538552207,0.4083527356228549,0.41831011132394785
resnet50,25,0.6214868253162217,0.5738394158730369,0.7851101036270894,0.3948857926978985,0.45052712326138844
resnet50,26,0.7026150023175889,0.4757494564256971,0.7081832270423303,0.4761072411433173,0.3369177853151847
resnet50,27,0.7087423715469728,0.6019103522706583,0.8297630568018279,0.4424357271568615,0.49944297382076647
resnet50,28,0.6808823350005473,0.5841137642415333,0.8026392602276459,0.4298190889885682,0.4688326396196098
resnet50,29,0.6526019902837121,0.6180069303290131,0.8018196255168095,0.40333695613467424,0.49553008544320226
resnet50,30,0.7301332276846287,0.5757919354907045,0.8365885955306805,0.46334367579896507,0.4817009666300607
resnet50,31,0.5696330610359972,0.6624416518569781,0.841979332570889,0.3426484534959206,0.5577621798976956
resnet50,32,0.5672897141040992,0.6088310976284668,0.8272941291188499,0.3526098637329458,0.503682392693016
resnet50,33,0.6262934728146847,0.5419200495454977,0.7574547391094737,0.4061776568761094,0.410479909746678
resnet50,34,0.5874823510407492,0.54032226893472,0.7611673283422623,0.38140223178559207,0.41127565788887016
resnet50,35,0.6133263108222038,0.6354244318288083,0.8436479632859002,0.3750257724451099,0.5360745277344744
resnet50,36,0.6302457615732073,0.6018775996148015,0.8063729657412246,0.393441897011832,0.4853378250145968
resnet50,37,0.633177009679704,0.5653031676435053,0.7717685484585587,0.4045075885414095,0.43628320513125335
resnet50,38,0.6274498625845183,0.61419997007917,0.8491174680663519,0.38870640206599955,0.521527923480054
resnet50,39,0.5906216447339686,0.5387933047246125,0.7901194163651202,0.3838212987543952,0.4257110514704452
resnet50,40,0.7211712162861125,0.5709212972958118,0.8207078623258567,0.459075332117235,0.46855959745995057
resnet50,41,0.6967500962943681,0.5408596498158124,0.7501593904329314,0.4521827126679932,0.40573094521559855
resnet50,42,0.7067483673718942,0.563981093476922,0.7896393152174838,0.45189060808958104,0.4453416444487244
resnet50,43,0.6296689488098424,0.5280181666850354,0.7536247325690879,0.41208210906018217,0.3979275496596299
resnet50,44,0.6968625014313876,0.5667782612027348,0.8081448206073542,0.4447741704664974,0.4580389162238322
resnet50,45,0.5260260592277135,0.5072685762683746,0.6816587511499014,0.3489929183888543,0.3457840641966887
resnet50,46,0.584136594303915,0.5338026506672944,0.6731154013047653,0.38084208163923905,0.35931078542146333
resnet50,47,0.5191654155611687,0.4999292344244143,0.6857860080353118,0.34612660627312475,0.34284447397606865
