sample_id,label,target,consensus_insertion_auc,fw_consensus_insertion_auc,uniform_consensus_insertion_auc,topk_consensus_insertion_auc,topk_methods,weight_gradcam,weight_gradcam++,weight_integrated_gradients,weight_gradient_shap,weight_occlusion,weight_guided_backprop
cub_00710,12,12,0.30097583181923254,0.30097583181923254,0.30054575226968155,0.2838051723665558,occlusion guided_backprop gradcam++,0.16092347177291197,0.1633877971963126,0.16245627037925772,0.15770311181012775,0.18753350143780237,0.1679958474035875
cub_00769,13,13,0.830814853386255,0.830814853386255,0.8203322530549485,0.9080234587949235,guided_backprop occlusion gradient_shap,0.14901019450314698,0.15040714180498935,0.17231031020694848,0.17517239417399805,0.1759460395829025,0.17715391972801467
cub_00793,14,14,0.8405830046394841,0.8405830046394841,0.8548017313936727,0.8303329297574238,gradcam++ guided_backprop gradcam,0.16710029061090928,0.1858550314939404,0.1558319902012535,0.1614012867695433,0.15336334668229087,0.1764480542420627
cub_00845,15,15,0.9542328914278188,0.9542328914278188,0.9545226117246786,0.9558750619762577,gradcam++ gradcam occlusion,0.17497718373622376,0.17503452278855475,0.15422626676060985,0.15404849423878494,0.1741236820554394,0.16758985042038732
cub_00904,16,16,0.8700747359922388,0.8700747359922388,0.8623724777629831,0.879085849635885,occlusion gradcam++ gradcam,0.16999343514246162,0.17047303354406138,0.15817060706360522,0.15853771797957214,0.17326690588611537,0.16955830038418432
cub_00959,17,17,0.7039720977045363,0.7039720977045363,0.6655393560504307,0.7716695337876446,occlusion gradcam++ guided_backprop,0.13199695826132649,0.20186648254968148,0.1330413717275109,0.1381152565876486,0.23516008385282477,0.15981984702100777
cub_01013,18,18,0.43647547415457666,0.43647547415457666,0.43685665924567724,0.4564039173419587,occlusion gradcam gradcam++,0.1757298574925173,0.17501694265963424,0.15827419455064318,0.15615253508933344,0.17809773347955224,0.15672873672831963
cub_01055,18,18,0.757705608312972,0.757705608312972,0.7516297216759994,0.7638194146798924,occlusion gradcam gradcam++,0.18448591977055973,0.18421118289882585,0.14456117441339528,0.14339119619997767,0.20328015044299472,0.14007037627424676
cub_01101,19,19,0.8977968331309968,0.8977968331309968,0.8981666859122925,0.8936539348098449,occlusion gradcam gradcam++,0.17815233343851317,0.17464735631341596,0.15145813174485873,0.16221190606716998,0.17842317542751973,0.15510709700852252
cub_01154,20,20,0.8960039096185938,0.8960039096185938,0.8985072987386957,0.8762613373110072,gradcam++ gradcam guided_backprop,0.1809445120939272,0.1822337583274756,0.16736656129835495,0.16548032589409783,0.13357486148819225,0.17039998089795216
cub_01206,21,104,0.07452389469544868,0.07452389469544868,0.06922734744730405,0.09663812954386229,gradcam occlusion gradcam++,0.1995314094812711,0.1641181788224842,0.15248180006555953,0.15335365432911674,0.17846495842746735,0.15204999887410098
cub_01267,22,22,0.548078164830804,0.548078164830804,0.5298926014453172,0.5844368495978415,gradcam++ occlusion integrated_gradients,0.14442200620733692,0.20841319452319565,0.15730141492849653,0.15538095218581865,0.18526966038191217,0.14921277177324013
cub_01304,23,23,0.4934054583194666,0.4934054583194666,0.49067823345540085,0.5480691111530177,occlusion gradient_shap gradcam++,0.1504052748018401,0.17513566037406,0.16122199336051185,0.17543673149766653,0.18859524879800138,0.14920509116792016
cub_01363,24,3,0.1256056793528842,0.1256056793528842,0.12595084235363171,0.13524084311502516,occlusion gradcam++ gradcam,0.16013570598747393,0.17123831002236137,0.1549410573858595,0.1544028364965335,0.20536136015815926,0.15392072994961253
cub_01409,25,25,0.25450650417769793,0.25450650417769793,0.24808596364746335,0.27977283256477675,occlusion gradcam gradcam++,0.1761696054877815,0.16422477089510928,0.15050707033699517,0.14775069226834714,0.2195694269758794,0.1417784340358875
cub_01460,25,25,0.8990503775072285,0.8990503775072285,0.8952245013904759,0.9186785059166142,gradcam++ gradcam occlusion,0.18969758413098775,0.18994324659008543,0.13350478311889286,0.1416838029699755,0.18915713578872792,0.1560134474013306
