sample_id,label,target,spearman_attention_rollout_vs_gradcam,top20_iou_attention_rollout_vs_gradcam,spearman_attention_rollout_vs_gradcam++,top20_iou_attention_rollout_vs_gradcam++,spearman_attention_rollout_vs_gradient_shap,top20_iou_attention_rollout_vs_gradient_shap,spearman_attention_rollout_vs_guided_backprop,top20_iou_attention_rollout_vs_guided_backprop,spearman_attention_rollout_vs_integrated_gradients,top20_iou_attention_rollout_vs_integrated_gradients,spearman_attention_rollout_vs_occlusion,top20_iou_attention_rollout_vs_occlusion,spearman_gradcam_vs_gradcam++,top20_iou_gradcam_vs_gradcam++,spearman_gradcam_vs_gradient_shap,top20_iou_gradcam_vs_gradient_shap,spearman_gradcam_vs_guided_backprop,top20_iou_gradcam_vs_guided_backprop,spearman_gradcam_vs_integrated_gradients,top20_iou_gradcam_vs_integrated_gradients,spearman_gradcam_vs_occlusion,top20_iou_gradcam_vs_occlusion,spearman_gradcam++_vs_gradient_shap,top20_iou_gradcam++_vs_gradient_shap,spearman_gradcam++_vs_guided_backprop,top20_iou_gradcam++_vs_guided_backprop,spearman_gradcam++_vs_integrated_gradients,top20_iou_gradcam++_vs_integrated_gradients,spearman_gradcam++_vs_occlusion,top20_iou_gradcam++_vs_occlusion,spearman_gradient_shap_vs_guided_backprop,top20_iou_gradient_shap_vs_guided_backprop,spearman_gradient_shap_vs_integrated_gradients,top20_iou_gradient_shap_vs_integrated_gradients,spearman_gradient_shap_vs_occlusion,top20_iou_gradient_shap_vs_occlusion,spearman_guided_backprop_vs_integrated_gradients,top20_iou_guided_backprop_vs_integrated_gradients,spearman_guided_backprop_vs_occlusion,top20_iou_guided_backprop_vs_occlusion,spearman_integrated_gradients_vs_occlusion,top20_iou_integrated_gradients_vs_occlusion,mean_spearman,mean_top20_iou
cub_00050,0,0,-0.14849562933400956,0.12342569269521411,0.279942163399321,0.19999601403061223,0.3638115402956508,0.3942341090656478,0.1644581016958901,0.16159277694177568,0.19085821757651053,0.21166384931176044,0.4432894443518104,0.3962537015357069,0.1714744631997935,0.19999601403061223,0.24969238207998237,0.16213086276780544,0.09903641291291061,0.13827132486388385,0.21040574465067588,0.16835487251135173,0.07069622322579128,0.07949100202321371,0.15103535742663576,0.19999601403061223,0.07973118915372407,0.19999601403061223,0.08507086798337757,0.19999601403061223,0.1923549896661601,0.20408163265306123,0.4497733917315849,0.24372559955382042,0.7308562782073723,0.4218916046758767,0.26696449654427123,0.2453931203931204,0.7262098108502225,0.48887240356083084,0.15249689727109875,0.18235362724515977,0.17771738825015373,0.1747494061069587,0.24320855862566323,0.22840312647896424
cub_00055,0,0,0.1462295335670279,0.15710579417699624,-0.07606673550041573,0.1843502891537826,0.4412787728569033,0.35690622675951594,0.5642534848050115,0.4920823730577652,0.43707957692469424,0.32248286768581974,0.3427589163197168,0.344050381173351,0.06685906128763895,0.22925215900042875,0.16039785991036848,0.18884018481222603,0.0781125863229051,0.12949518824919803,0.09165319671566824,0.1495503751646715,0.2701675539277073,0.2319985416540074,-0.10160355331346198,0.13025848960973138,-0.043465230281376804,0.13223513483019295,-0.13187034676854287,0.10657771406517065,0.06729699887964118,0.13445613249776187,0.566722451651173,0.36753883892068684,0.8881117532394374,0.6475127236906912,0.18310323493101496,0.258144585789637,0.6531736766447437,0.42836808768059215,0.22674177769480483,0.265605493133583,0.0885117455938393,0.20994211374351018,0.23425934835278567,0.2603216045166343
cub_00065,1,1,-0.10410942947491776,0.07787325456498388,-0.09704300256608087,0.19999601403061223,0.23591151016967657,0.281772895644399,0.09859938230579293,0.10499366844684248,0.22889371576989695,0.23835379774171656,0.1318750997293378,0.1800139681061576,0.22690328504936977,0.19999601403061223,-0.07153430058341276,0.1638830897703549,-0.10897854077013779,0.06353664352710509,-0.07881893599182899,0.1753338018271258,0.060123213740680366,0.15804203792551977,0.04419489911145252,0.19999601403061223,-0.10779930950842194,0.19999601403061223,0.02877023020412763,0.19999601403061223,0.13347807711281467,0.20408163265306123,0.03653140072955849,0.12651549169286036,0.88260497569185,0.6748727363765334,0.24449430277481998,0.2041931460473956,0.22276985511877512,0.16038390379278447,-0.07477539116459056,0.09305083832012508,0.2021387987303219,0.17522606074658012,0.10162999219900398,0.19438604939698126
cub_00072,1,1,-0.18454077466618535,0.13325804630152457,0.23483790692034612,0.19999601403061223,0.49658044643959304,0.2948387096774194,0.5080691781420819,0.24534623976172748,0.498270010888108,0.29517294785751164,-0.039842651788235955,0.14612775579423404,-0.2718218715482922,0.19999601403061223,-0.17582021394808486,0.08065905664441095,-0.39395867533824586,0.026231017027151405,-0.19696398394617132,0.06943038311930516,0.00576039616550717,0.1023814702044367,0.125236100368583,0.19999601403061223,0.13766814692565138,0.19999601403061223,0.15536116139125847,0.19999601403061223,-0.015601367375792447,0.20408163265306123,0.5978865719918693,0.3540682768857104,0.9283833055912961,0.6490017254128666,0.07314920992254657,0.1809762348555452,0.6279338927598427,0.39520333680917624,0.08628052223891242,0.1906859290580221,0.05520473868337507,0.1625573394495413,0.15486057380085538,0.21571429388879548
cub_00073,1,1,0.2674271048955697,0.19999601403061223,0.0,0.19999601403061223,0.6167272339152511,0.5094765342960289,0.5456450150271943,0.38518876388984746,0.5335473010580823,0.4209855564995752,0.48876752114249683,0.4042803712425544,0.0,1.0,0.30985770652436284,0.19999601403061223,0.219134361686201,0.19999601403061223,0.2746437543098628,0.19999601403061223,0.2913400087259529,0.20408163265306123,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.19999601403061223,0.0,0.20408163265306123,0.6531328651004615,0.3922996878251821,0.8387716346352985,0.6325036603221084,0.3633607934444815,0.2969359687839826,0.7323128622650317,0.43030216647662484,0.2712139290072361,0.23545183108890377,0.29191288763847645,0.25970798384591487,0.3189426180655219,0.33215542389627345
cub_00076,1,1,-0.15650192302380564,0.04264935064935065,0.44465818461243867,0.49308138669840795,0.5019297630197563,0.37957107506186416,0.453143386202054,0.23143944042213768,0.47424085461418125,0.3648418905134308,0.4615955630663878,0.5032994735671388,0.06635283757183068,0.1373604578681929,0.09474323841850901,0.12335590753903845,0.23039498370633177,0.1668507644904366,0.10320795996436914,0.13781179138321994,-0.03983886096566076,0.06665263822399915,0.30937548319606833,0.38109000825763834,0.40218084737248705,0.23416553929405978,0.3091136950258025,0.38509316770186336,0.3612792173057146,0.35455638695884556,0.5921610236281868,0.3236166985425048,0.8821815942125991,0.6370309951060359,0.31368534781722796,0.30629469750660393,0.6371382242975969,0.3462570431982828,0.3203150856171922,0.1853259280912014,0.30049833958470346,0.2701246632838439,0.3362788021544748,0.28906996687419506
cub_00080,1,1,-0.10243641279509236,0.10682181657751062,-0.21062643785395505,0.13108656447249775,0.5303180829823891,0.3625254582484725,0.3020180260466207,0.19450065468396618,0.47579939370565383,0.2648096798588354,0.09395514917156766,0.2658425422988075,0.014270579379417066,0.05670510187963987,-0.0581674066586308,0.09738093936245831,-0.32425457600882673,0.04303086997193639,-0.025667027661985538,0.11148031234424323,0.1880423587912316,0.15738097956387714,-0.3336589898404674,0.09570344488726319,-0.3121128208644647,0.06851940584571155,-0.2763277642055585,0.09159142826063309,-0.029054316841333343,0.09832069339111593,0.48222928435245077,0.2604408716950323,0.744955508584362,0.4358277292888825,0.1663132799416419,0.22998058723610773,0.4930907877405984,0.2715408008109478,0.0724539324508619,0.15061574257987628,0.15732597725884973,0.19264705882352942,0.09754602893692049,0.17555965152768307
cub_00083,1,1,-0.007356393276705078,0.2115175660992394,0.07392284608288018,0.19999601403061223,0.6084828103367086,0.5279786829082603,0.1612276593308462,0.23934790663208597,0.28067235426303616,0.29978628327180884,0.37340664151510244,0.3633918364602246,-0.08662593810221719,0.19999601403061223,-0.06838806659894515,0.21791370835608956,-0.1618665555894078,0.12029025955902875,-0.10011880472108621,0.13236289776574137,0.013085672720591421,0.2767632241813602,0.053026699738473425,0.19999601403061223,-0.04463392478126654,0.19999601403061223,-0.00448262084567453,0.19999601403061223,0.09957811780799146,0.20408163265306123,0.45001825669019707,0.26155006600037717,0.6732755848245625,0.4114916660805964,0.31139197280632414,0.3155333506358682,0.6980485301278763,0.47965202005308166,0.19637130163944472,0.197295382071572,0.2254525834852774,0.21801033281268772,0.1783089870216195,0.26080699455686407
cub_00101,1,1,0.29371916377104,0.23933312750849028,0.23198647460433344,0.15111544417044218,0.3699544143140539,0.36437797416723317,0.47190973133953795,0.4249201277955272,0.32220772950485266,0.29175516508978566,0.09289522623007716,0.36697680690399137,0.10219634607313753,0.0952692748403994,0.1677200130685296,0.19434692055935734,0.14913954022740544,0.17898261278195488,0.12539211120954374,0.16766536738611904,0.1550927539559585,0.21872933822203522,0.019082084383322845,0.11159107271418287,0.09120317069997329,0.12109025915996426,0.0032091715410583733,0.10334212840809147,0.1720068295022414,0.17167456373512077,0.6211753878336771,0.4348012582213326,0.8529234708374845,0.5964047088768692,0.17998231519246052,0.26513166105079244,0.6356583415905768,0.41377852916314456,0.18156701286131832,0.2962726168403555,0.1366615970163622,0.2142172715295245,0.2559848993217593,0.25817982043451015
cub_00108,1,1,0.30949290765414345,0.19999601403061223,-0.26455996087085953,0.0777574911395124,0.45618194554112085,0.4764952549106158,0.5439500985679803,0.4711919073449641,0.47495654846776053,0.471623405191377,0.1102536618130352,0.31297759357596167,-0.1306004252090916,0.19999601403061223,0.2606079088468031,0.19999601403061223,0.22150227381307488,0.19999601403061223,0.25210267727602204,0.19999601403061223,0.05088229923611345,0.20408163265306123,-0.14709627008325374,0.08170744852861916,-0.12005667512482754,0.07154297917778964,-0.11270847445253486,0.08293314627960935,0.08603277898783883,0.16509596598092174,0.6101280590287966,0.46261477918670746,0.7584736459230117,0.5690720037526386,0.22480111305974626,0.2595514692178667,0.6532380732614823,0.5074357818837314,0.22519925450290376,0.2833903025699456,0.2302924581768754,0.24516366762881533,0.2234797094483877,0.2734578523416761
